Sex,Age_at_Start_of_Episode_SUS,Period,Admission_count
1,6,Apr_Dec_19,1
1,7,Apr_Dec_19,1
2,7,Apr_Dec_19,1
2,10,Apr_Dec_19,1
1,10,Apr_Dec_20,1
1,11,Apr_Dec_20,2
2,12,Apr_Dec_19,2
2,12,Apr_Dec_20,1
1,13,Apr_Dec_19,1
2,13,Apr_Dec_19,3
1,13,Apr_Dec_20,2
2,13,Apr_Dec_20,1
1,14,Apr_Dec_19,2
2,14,Apr_Dec_19,7
2,14,Apr_Dec_20,1
1,15,Apr_Dec_19,3
2,15,Apr_Dec_19,4
1,15,Apr_Dec_20,1
2,15,Apr_Dec_20,3
1,16,Apr_Dec_19,6
2,16,Apr_Dec_19,3
1,16,Apr_Dec_20,5
2,16,Apr_Dec_20,9
1,17,Apr_Dec_19,10
2,17,Apr_Dec_19,9
1,17,Apr_Dec_20,2
2,17,Apr_Dec_20,5
1,18,Apr_Dec_19,10
2,18,Apr_Dec_19,4
1,18,Apr_Dec_20,3
2,18,Apr_Dec_20,3
1,19,Apr_Dec_19,2
2,19,Apr_Dec_19,9
1,19,Apr_Dec_20,3
2,19,Apr_Dec_20,4
1,20,Apr_Dec_19,7
2,20,Apr_Dec_19,7
1,20,Apr_Dec_20,3
2,20,Apr_Dec_20,3
1,21,Apr_Dec_19,11
2,21,Apr_Dec_19,8
1,21,Apr_Dec_20,2
2,21,Apr_Dec_20,4
1,22,Apr_Dec_19,8
2,22,Apr_Dec_19,9
1,22,Apr_Dec_20,7
2,22,Apr_Dec_20,6
1,23,Apr_Dec_19,9
2,23,Apr_Dec_19,6
1,23,Apr_Dec_20,6
2,23,Apr_Dec_20,3
1,24,Apr_Dec_19,14
2,24,Apr_Dec_19,10
1,24,Apr_Dec_20,10
2,24,Apr_Dec_20,2
1,25,Apr_Dec_19,15
2,25,Apr_Dec_19,12
1,25,Apr_Dec_20,10
2,25,Apr_Dec_20,4
1,26,Apr_Dec_19,13
2,26,Apr_Dec_19,14
1,26,Apr_Dec_20,8
2,26,Apr_Dec_20,7
1,27,Apr_Dec_19,13
2,27,Apr_Dec_19,10
1,27,Apr_Dec_20,4
2,27,Apr_Dec_20,12
1,28,Apr_Dec_19,18
2,28,Apr_Dec_19,27
1,28,Apr_Dec_20,8
2,28,Apr_Dec_20,19
1,29,Apr_Dec_19,15
2,29,Apr_Dec_19,19
1,29,Apr_Dec_20,15
2,29,Apr_Dec_20,6
1,30,Apr_Dec_19,20
2,30,Apr_Dec_19,18
1,30,Apr_Dec_20,8
2,30,Apr_Dec_20,11
1,31,Apr_Dec_19,21
2,31,Apr_Dec_19,24
1,31,Apr_Dec_20,12
2,31,Apr_Dec_20,11
1,32,Apr_Dec_19,21
2,32,Apr_Dec_19,24
1,32,Apr_Dec_20,19
2,32,Apr_Dec_20,12
1,33,Apr_Dec_19,30
2,33,Apr_Dec_19,24
1,33,Apr_Dec_20,16
2,33,Apr_Dec_20,19
1,34,Apr_Dec_19,40
2,34,Apr_Dec_19,37
1,34,Apr_Dec_20,21
2,34,Apr_Dec_20,21
1,35,Apr_Dec_19,35
2,35,Apr_Dec_19,46
1,35,Apr_Dec_20,13
2,35,Apr_Dec_20,25
1,36,Apr_Dec_19,36
2,36,Apr_Dec_19,38
1,36,Apr_Dec_20,10
2,36,Apr_Dec_20,32
1,37,Apr_Dec_19,42
2,37,Apr_Dec_19,36
1,37,Apr_Dec_20,18
2,37,Apr_Dec_20,20
1,38,Apr_Dec_19,51
2,38,Apr_Dec_19,59
1,38,Apr_Dec_20,31
2,38,Apr_Dec_20,16
1,39,Apr_Dec_19,62
2,39,Apr_Dec_19,87
1,39,Apr_Dec_20,26
2,39,Apr_Dec_20,41
1,40,Apr_Dec_19,74
2,40,Apr_Dec_19,89
1,40,Apr_Dec_20,32
2,40,Apr_Dec_20,31
1,41,Apr_Dec_19,87
2,41,Apr_Dec_19,98
1,41,Apr_Dec_20,41
2,41,Apr_Dec_20,47
1,42,Apr_Dec_19,82
2,42,Apr_Dec_19,90
1,42,Apr_Dec_20,47
2,42,Apr_Dec_20,45
1,43,Apr_Dec_19,110
2,43,Apr_Dec_19,105
1,43,Apr_Dec_20,47
2,43,Apr_Dec_20,59
1,44,Apr_Dec_19,140
2,44,Apr_Dec_19,149
1,44,Apr_Dec_20,57
2,44,Apr_Dec_20,61
1,45,Apr_Dec_19,161
2,45,Apr_Dec_19,153
1,45,Apr_Dec_20,61
2,45,Apr_Dec_20,85
1,46,Apr_Dec_19,150
2,46,Apr_Dec_19,214
1,46,Apr_Dec_20,86
2,46,Apr_Dec_20,93
1,47,Apr_Dec_19,229
2,47,Apr_Dec_19,276
1,47,Apr_Dec_20,69
2,47,Apr_Dec_20,130
1,48,Apr_Dec_19,261
2,48,Apr_Dec_19,318
1,48,Apr_Dec_20,113
2,48,Apr_Dec_20,121
1,49,Apr_Dec_19,309
2,49,Apr_Dec_19,379
1,49,Apr_Dec_20,131
2,49,Apr_Dec_20,161
1,50,Apr_Dec_19,359
2,50,Apr_Dec_19,421
1,50,Apr_Dec_20,156
2,50,Apr_Dec_20,176
1,51,Apr_Dec_19,433
2,51,Apr_Dec_19,507
1,51,Apr_Dec_20,138
2,51,Apr_Dec_20,232
1,52,Apr_Dec_19,463
2,52,Apr_Dec_19,609
1,52,Apr_Dec_20,211
2,52,Apr_Dec_20,225
1,53,Apr_Dec_19,461
2,53,Apr_Dec_19,691
1,53,Apr_Dec_20,212
2,53,Apr_Dec_20,310
1,54,Apr_Dec_19,564
2,54,Apr_Dec_19,687
1,54,Apr_Dec_20,262
2,54,Apr_Dec_20,321
1,55,Apr_Dec_19,614
2,55,Apr_Dec_19,823
1,55,Apr_Dec_20,274
2,55,Apr_Dec_20,341
1,56,Apr_Dec_19,722
2,56,Apr_Dec_19,881
1,56,Apr_Dec_20,280
2,56,Apr_Dec_20,353
1,57,Apr_Dec_19,756
2,57,Apr_Dec_19,985
1,57,Apr_Dec_20,331
2,57,Apr_Dec_20,392
1,58,Apr_Dec_19,840
2,58,Apr_Dec_19,998
1,58,Apr_Dec_20,363
2,58,Apr_Dec_20,423
1,59,Apr_Dec_19,889
2,59,Apr_Dec_19,1107
1,59,Apr_Dec_20,329
2,59,Apr_Dec_20,471
1,60,Apr_Dec_19,1000
2,60,Apr_Dec_19,1157
1,60,Apr_Dec_20,388
2,60,Apr_Dec_20,466
1,61,Apr_Dec_19,1036
2,61,Apr_Dec_19,1272
1,61,Apr_Dec_20,414
2,61,Apr_Dec_20,479
1,62,Apr_Dec_19,1066
2,62,Apr_Dec_19,1310
1,62,Apr_Dec_20,425
2,62,Apr_Dec_20,569
1,63,Apr_Dec_19,1062
2,63,Apr_Dec_19,1413
1,63,Apr_Dec_20,425
2,63,Apr_Dec_20,587
1,64,Apr_Dec_19,1136
2,64,Apr_Dec_19,1367
1,64,Apr_Dec_20,455
2,64,Apr_Dec_20,595
1,65,Apr_Dec_19,1207
2,65,Apr_Dec_19,1552
1,65,Apr_Dec_20,432
2,65,Apr_Dec_20,624
1,66,Apr_Dec_19,1175
2,66,Apr_Dec_19,1650
1,66,Apr_Dec_20,452
2,66,Apr_Dec_20,658
1,67,Apr_Dec_19,1242
2,67,Apr_Dec_19,1657
1,67,Apr_Dec_20,489
2,67,Apr_Dec_20,590
1,68,Apr_Dec_19,1237
2,68,Apr_Dec_19,1815
1,68,Apr_Dec_20,495
2,68,Apr_Dec_20,622
1,69,Apr_Dec_19,1313
2,69,Apr_Dec_19,1935
1,69,Apr_Dec_20,495
2,69,Apr_Dec_20,702
1,70,Apr_Dec_19,1426
2,70,Apr_Dec_19,2073
1,70,Apr_Dec_20,534
2,70,Apr_Dec_20,719
1,71,Apr_Dec_19,1582
2,71,Apr_Dec_19,2301
1,71,Apr_Dec_20,515
2,71,Apr_Dec_20,790
1,72,Apr_Dec_19,1708
2,72,Apr_Dec_19,2577
1,72,Apr_Dec_20,564
2,72,Apr_Dec_20,817
1,73,Apr_Dec_19,1409
2,73,Apr_Dec_19,2110
1,73,Apr_Dec_20,617
2,73,Apr_Dec_20,1032
1,74,Apr_Dec_19,1339
2,74,Apr_Dec_19,2133
1,74,Apr_Dec_20,561
2,74,Apr_Dec_20,781
1,75,Apr_Dec_19,1302
2,75,Apr_Dec_19,2054
1,75,Apr_Dec_20,475
2,75,Apr_Dec_20,730
1,76,Apr_Dec_19,1202
2,76,Apr_Dec_19,1966
1,76,Apr_Dec_20,513
2,76,Apr_Dec_20,747
1,77,Apr_Dec_19,1105
2,77,Apr_Dec_19,1740
1,77,Apr_Dec_20,394
2,77,Apr_Dec_20,670
1,78,Apr_Dec_19,1044
2,78,Apr_Dec_19,1575
1,78,Apr_Dec_20,409
2,78,Apr_Dec_20,626
1,79,Apr_Dec_19,946
2,79,Apr_Dec_19,1537
1,79,Apr_Dec_20,323
2,79,Apr_Dec_20,550
1,80,Apr_Dec_19,925
2,80,Apr_Dec_19,1500
1,80,Apr_Dec_20,351
2,80,Apr_Dec_20,500
1,81,Apr_Dec_19,823
2,81,Apr_Dec_19,1483
1,81,Apr_Dec_20,300
2,81,Apr_Dec_20,485
1,82,Apr_Dec_19,692
2,82,Apr_Dec_19,1143
1,82,Apr_Dec_20,240
2,82,Apr_Dec_20,427
1,83,Apr_Dec_19,598
2,83,Apr_Dec_19,1084
1,83,Apr_Dec_20,198
2,83,Apr_Dec_20,420
1,84,Apr_Dec_19,525
2,84,Apr_Dec_19,855
1,84,Apr_Dec_20,203
2,84,Apr_Dec_20,341
1,85,Apr_Dec_19,439
2,85,Apr_Dec_19,684
1,85,Apr_Dec_20,156
2,85,Apr_Dec_20,296
1,86,Apr_Dec_19,363
2,86,Apr_Dec_19,566
1,86,Apr_Dec_20,133
2,86,Apr_Dec_20,201
1,87,Apr_Dec_19,270
2,87,Apr_Dec_19,462
1,87,Apr_Dec_20,93
2,87,Apr_Dec_20,147
1,88,Apr_Dec_19,198
2,88,Apr_Dec_19,355
1,88,Apr_Dec_20,82
2,88,Apr_Dec_20,131
1,89,Apr_Dec_19,128
2,89,Apr_Dec_19,253
1,89,Apr_Dec_20,42
2,89,Apr_Dec_20,90
1,90,Apr_Dec_19,70
2,90,Apr_Dec_19,148
1,90,Apr_Dec_20,34
2,90,Apr_Dec_20,48
1,91,Apr_Dec_19,37
2,91,Apr_Dec_19,84
1,91,Apr_Dec_20,17
2,91,Apr_Dec_20,37
1,92,Apr_Dec_19,45
2,92,Apr_Dec_19,62
1,92,Apr_Dec_20,5
2,92,Apr_Dec_20,35
1,93,Apr_Dec_19,24
2,93,Apr_Dec_19,44
1,93,Apr_Dec_20,7
2,93,Apr_Dec_20,18
1,94,Apr_Dec_19,13
2,94,Apr_Dec_19,26
1,94,Apr_Dec_20,7
2,94,Apr_Dec_20,9
1,95,Apr_Dec_19,11
2,95,Apr_Dec_19,14
1,95,Apr_Dec_20,2
2,95,Apr_Dec_20,9
1,96,Apr_Dec_19,2
2,96,Apr_Dec_19,8
1,96,Apr_Dec_20,3
2,96,Apr_Dec_20,3
1,97,Apr_Dec_19,3
2,97,Apr_Dec_19,5
1,97,Apr_Dec_20,1
2,97,Apr_Dec_20,4
1,98,Apr_Dec_19,2
2,98,Apr_Dec_19,3
2,99,Apr_Dec_19,2
2,99,Apr_Dec_20,3
2,100,Apr_Dec_20,1
1,NA,Apr_Dec_19,2
2,NA,Apr_Dec_19,4
